Player,Wyscout id,Team within selected timeframe,Position,Age,Goals,Assists,Minutes played,Temporada
E. Gómez,-80568,Boston River,"CF, LW, LWF",22.0,10,2,1881,2024
A. Schetino,308767,Fénix,"DMF, RCMF, CB",30.0,1,0,1876,2024
K. Lewis,486250,Danubio,"LCMF, LB5, LWB",25.0,0,1,1873,2024
J. Poiso,-113283,Liverpool,"RCB3, RB, CB",20.0,1,1,1870,2024
G. Vega,241911,Wanderers,"RW, RAMF",32.0,2,1,1869,2024
F. Bernal,-262709,Defensor Sporting,"DMF, LDMF",21.0,2,1,1866,2024
A. Vera,-320093,River Plate,"AMF, RCMF3, RW",20.0,3,0,1866,2024
R. Cristóbal,472307,River Plate,"DMF, RCMF, LCMF",28.0,2,0,1857,2024
A. Cougo,395535,Boston River,"LB, LW",28.0,0,0,1843,2024
F. Formiliano,203349,Wanderers,"LCB, RCB",31.0,2,1,1841,2024
E. Almeida,-423028,Rampla Juniors,"RW, LW",19.0,2,0,1838,2024
D. Rosa,-116208,Rampla Juniors,"LW, LB",26.0,1,3,1837,2024
M. Vera,-137411,Boston River,"LCMF, LDMF, DMF",26.0,0,3,1833,2024
E. Darias,506234,Peñarol,"LW, RW, RDMF",26.0,4,2,1832,2024
T. Viudez,63464,Wanderers,"CF, AMF",35.0,1,3,1831,2024
R. Bentancourt,205260,Nacional,CF,31.0,8,3,1806,2024
L. Correa,485478,Cerro Largo,"RCMF, LCB, RCB",28.0,2,1,1784,2024
G. Allala,428688,Boston River,"LCB, RCB",27.0,1,0,1770,2024
L. Agazzi,-404251,Defensor Sporting,"RB, RWB, RB5",19.0,1,3,1764,2024
M. Juambeltz,-57226,Fénix,CF,22.0,6,1,1759,2024
W. Fernández,397868,Fénix,"LCMF, DMF",26.0,1,1,1743,2024
N. Cabral,-119841,Cerro Largo,"LCB, RCB",25.0,0,0,1740,2024
L. Sosa,201707,Danubio,"LB, LDMF, LCMF3",33.0,1,1,1737,2024
A. Duarte,-84922,Defensor Sporting,"RW, RAMF, RWF",20.0,6,2,1732,2024
F. Elizari,237708,Defensor Sporting,"LCMF, AMF, LCMF3",33.0,2,0,1727,2024
A. Alfaro,486237,Fénix,"LB, LCMF3, LWB",25.0,1,4,1726,2024
N. González,458157,Cerro,CF,27.0,7,2,1720,2024
G. Pereira,148490,Miramar Misiones,"LCMF, DMF, RCMF",33.0,0,0,1718,2024
J. Urretaviscaya,72487,Racing,"LAMF, AMF, LCMF3",34.0,1,3,1704,2024
J. González,187370,Progreso,"LCB3, LB, LCB",32.0,0,2,1701,2024
M. Alfonso,-37091,River Plate,"LCMF, LCMF3",24.0,0,0,1699,2024
E. Márquez,-406656,Fénix,GK,22.0,0,0,1695,2024
R. César,192597,Deportivo Maldonado,"CF, RW",31.0,3,0,1695,2024
H. Silveira,279290,Racing,CF,31.0,8,1,1691,2024
N. Rodríguez,-130252,River Plate,"RCB3, RCB, LCB",26.0,2,0,1685,2024
L. Álvarez,90893,Miramar Misiones,GK,39.0,0,0,1682,2024
M. González,373371,Boston River,"RCB, LCB",30.0,0,1,1667,2024
N. Dibble,322922,Rampla Juniors,"CF, RW, AMF",30.0,2,2,1666,2024
T. Espinosa,-329708,Racing,"LB, LWB, LCMF",20.0,2,1,1666,2024
B. Acosta,499275,Deportivo Maldonado,RW,27.0,0,1,1660,2024
A. Madruga,-84924,Rampla Juniors,"LCB, RCB",20.0,1,0,1655,2024
F. Rodríguez,-77434,Fénix,"LB5, LB, LWB",31.0,1,0,1642,2024
A. García,-334556,Progreso,"RCMF, LCMF",24.0,0,0,1638,2024
C. Tizón,-124554,Danubio,"LW, LAMF, LWF",28.0,5,1,1628,2024
F. López,372553,Progreso,CF,31.0,10,2,1625,2024
O. Rivero,275663,Defensor Sporting,CF,32.0,12,3,1625,2024
M. Pereyra,74021,Nacional,"AMF, CF, LCMF",34.0,3,2,1625,2024
L. Sequeira,326071,Peñarol,"CF, RW, LW",29.0,7,1,1623,2024
L. Sanseviero,-109651,Danubio,"RW, RAMF",24.0,1,6,1616,2024
Douglas Bittencourt,437753,Miramar Misiones,CF,29.0,3,4,1606,2024
L. Hernández,276174,Peñarol,"LB, LW",32.0,2,6,1604,2024
D. Zabala,175853,Nacional,"LW, LAMF",33.0,6,4,1599,2024
M. Colmán,-580611,Progreso,"RB, RCB, LCB",25.0,2,1,1581,2024
A. Prado,-110864,Cerro Largo,LCB,21.0,0,0,1578,2024
J. Báez,475438,River Plate,"LCMF, RW, RWB",24.0,0,5,1578,2024
E. Martínez,449015,Liverpool,"LCB, LCB3",26.0,0,0,1559,2024
M. Brasil,447032,Cerro Largo,"RCB, LCB",25.0,3,0,1557,2024
L. Femia,-485534,Cerro,"RB, LCMF",22.0,1,0,1549,2024
D. Denis,199077,Cerro,GK,32.0,0,0,1541,2024
G. Bueno,143089,Racing,"LCB, RCB",39.0,1,0,1522,2024
Y. Gorgoroso,-124541,Cerro,LCMF,30.0,0,2,1519,2024
M. García,-172685,Progreso,"RCMF, LCMF, LW",25.0,1,0,1518,2024
V. Amoroso,-124503,River Plate,"RW, LW, LCMF3",24.0,0,2,1517,2024
M. Risso,55869,Wanderers,"LCB, RCB",36.0,1,1,1516,2024
R. Fernández,480277,River Plate,"LB, LB5, LWB",29.0,0,0,1510,2024
G. Ramírez,91722,Peñarol,"LCMF, RCMF",34.0,4,1,1496,2024
L. Ferreira,-175498,Danubio,"RCB, CB, LCB3",24.0,1,0,1487,2024
M. Peralta,-329267,Danubio,"RCMF3, LCMF3",18.0,1,1,1483,2024
R. Burruzo,-265876,Rampla Juniors,CF,21.0,4,1,1480,2024
S. da Silva,-354979,Fénix,CF,22.0,4,0,1478,2024
E. Álvarez,413471,Miramar Misiones,"LCB, RCB3, LCB3",28.0,0,0,1472,2024
R. Marín,-69045,Cerro,"LW, LB",23.0,1,0,1459,2024
A. García,-84246,Cerro Largo,"RB, RW",25.0,1,4,1456,2024
A. Rodriguez,181312,Deportivo Maldonado,"RCB, CB",32.0,0,0,1446,2024
M. Fernández,-116195,Boston River,"DMF, LCMF, RCB",23.0,0,2,1444,2024
F. Correa,-171590,River Plate,GK,23.0,0,0,1428,2024
L. Bontempo,287316,Wanderers,LB,31.0,0,0,1419,2024
S. Gorga,181036,Rampla Juniors,"LCB, CB",30.0,0,1,1419,2024
B. Bentaberry,449731,Liverpool,"RCB, CB",27.0,0,0,1413,2024
L. Rodríguez,-235501,Liverpool,"CF, RW, RAMF",21.0,5,0,1390,2024
C. Spinelli,478974,Defensor Sporting,CF,27.0,7,0,1390,2024
J. Izquierdo,499288,Nacional,RCB,27.0,1,0,1385,2024
G. Barreto,91624,Progreso,CF,32.0,1,0,1383,2024
G. Fratta,396632,Danubio,LCB,29.0,1,0,1381,2024
A. Freitas,449014,Deportivo Maldonado,GK,27.0,0,0,1370,2024
H. Menosse,90434,Deportivo Maldonado,RCB,37.0,1,0,1366,2024
P. González,489705,Fénix,GK,25.0,0,0,1366,2024
G. Santilli,-252780,Cerro Largo,GK,33.0,0,0,1365,2024
J. Quintana,-69039,River Plate,"RB5, RWB, RB",24.0,0,2,1364,2024
J. Recoba,-537183,Nacional,"LAMF, LW",21.0,7,4,1361,2024
G. Freitas,199078,Wanderers,"LDMF, LCMF, RCMF",32.0,4,1,1351,2024
S. Coates,77863,Nacional,RCB,34.0,3,0,1336,2024
M. Silveira,453797,Wanderers,GK,24.0,0,0,1325,2024
J. Rosso,504507,Liverpool,"RB, RCB, LCB",27.0,2,1,1317,2024
A. Di Pippa,-346555,Cerro Largo,"DMF, RCB, LCMF",24.0,1,1,1288,2024
F. de León,-457545,Fénix,"RW, RAMF, CF",20.0,0,1,1283,2024
H. Pereira,57123,Cerro Largo,"LCMF, RCMF, DMF",37.0,0,1,1280,2024
M. Barrios,-73171,Liverpool,"RCMF3, RCMF, DMF",25.0,1,2,1271,2024
S. Etchebarne,472900,Danubio,"LCB, CB, RCB",30.0,0,0,1269,2024
B. Ferrares,474726,Cerro Largo,"RCB, RCB3",24.0,0,0,1266,2024
G. Barrios,-151397,River Plate,"RB, RCMF3, RCB3",20.0,0,0,1259,2024
Sebastián Cardozo,404362,Progreso,"CB, RCB, LCB",29.0,1,0,1258,2024
F. Barone,-379309,River Plate,CF,18.0,3,1,1255,2024
F. Alonso,323068,Miramar Misiones,"LCB, RCB",33.0,0,0,1247,2024
I. Pintos,-361444,Danubio,"RCMF, RCMF3, RW",20.0,0,0,1241,2024
J. Viacava,434457,Defensor Sporting,"LCB, LCB3, LB",25.0,1,1,1238,2024
Dudu,-165404,Fénix,"LCMF3, LW, LWF",21.0,4,1,1231,2024
L. Rinaldi,289983,Rampla Juniors,CF,30.0,5,0,1215,2024
G. Castillo,91570,Progreso,"RCB, RCB3, CB",34.0,0,0,1212,2024
N. Petillo Mediza,-485532,Cerro,"RCMF, LCMF, RCB",23.0,1,0,1195,2024
H. Sequeira,305883,Progreso,"CF, RWF",29.0,2,1,1189,2024
N. López,187303,Nacional,"CF, AMF",31.0,11,3,1184,2024
F. Nicola,-341212,Liverpool,"LW, LWF, LAMF",22.0,4,0,1182,2024
F. Barrios,-262710,Defensor Sporting,"DMF, RCMF",22.0,1,0,1175,2024
N. Ferreira,-329706,Wanderers,"CF, RW, AMF",22.0,3,2,1166,2024
A. Silva,249820,Progreso,"RWB, RAMF",31.0,6,3,1160,2024
A. Pereira,-308457,Racing,"RB, RAMF, RWB",23.0,1,2,1154,2024
G. de Amores,181035,Peñarol,GK,30.0,0,0,1154,2024
D. Arismendi,23389,Rampla Juniors,"LCB, RCB",36.0,0,0,1153,2024
F. Silvera,-150131,Miramar Misiones,"RW, RWB",23.0,1,2,1138,2024
M. Ocampo,-57221,Liverpool,"CF, LW, LAMF",22.0,3,1,1132,2024
L. Lemos,-116193,Liverpool,"DMF, RDMF, RCB",24.0,0,0,1130,2024
G. Carneiro,413472,Nacional,CF,29.0,6,2,1121,2024
D. Olivera,-115323,Miramar Misiones,RW,25.0,2,0,1119,2024
H. Toledo,419763,Deportivo Maldonado,"LAMF, LW, CF",28.0,1,0,1109,2024
N. Rossi,-306398,Peñarol,"LW, CF, LAMF",22.0,4,0,1106,2024
M. Antoni,-373404,Nacional,"LCB, LB",21.0,1,0,1100,2024
M. Suárez,316039,Deportivo Maldonado,"LB, RB",28.0,2,0,1094,2024
F. Pérez,-172773,Boston River,"LW, LAMF",23.0,0,2,1080,2024
M. Alfonso,-67747,River Plate,"LCMF, LCMF3",24.0,0,0,1078,2024
R. Bacchia,397728,Racing,GK,25.0,0,0,1072,2024
M. Fernández,-206461,Miramar Misiones,"LCMF3, LCMF, LW",21.0,0,0,1071,2024
E. Elizalde,474137,Liverpool,LCB,24.0,1,0,1069,2024
S. De Marco,-328569,Fénix,"LW, CF, LAMF",22.0,3,1,1064,2024
N. Olivera,248712,River Plate,"CB, LCB",31.0,0,0,1055,2024
B. Scorza,-170762,Cerro,"CF, LW, RW",24.0,1,1,1043,2024
A. González,472799,Liverpool,"LCMF, AMF, LCMF3",27.0,0,0,1033,2024
G. Machado,-131527,Rampla Juniors,"RW, RAMF",23.0,0,1,1017,2024
A. Moreira,-332017,Progreso,"CF, RW, RWB",23.0,0,1,1016,2024
J. Contrera,-321276,Cerro Largo,"RW, LW, CF",21.0,0,0,1007,2024
A. Albarracín,-405156,Wanderers,"LW, LAMF, RAMF",19.0,1,1,1002,2024
J. Rivero,-194270,Racing,"LW, LAMF, AMF",25.0,0,0,982,2024
H. Quintana,507481,Liverpool,"AMF, LW, RCMF",23.0,2,0,976,2024
W. Montoya,285547,Defensor Sporting,"LCMF, LCMF3, AMF",31.0,2,0,973,2024
N. Bertocchi,124236,Cerro Largo,"LCMF, DMF, RCB",35.0,1,0,972,2024
J. González,453202,Boston River,GK,31.0,0,0,969,2024
L. Otormín,316042,Wanderers,"AMF, CF",28.0,0,1,968,2024
M. Añasco,-172333,Cerro Largo,"LW, LAMF, LWF",23.0,3,1,948,2024
I. Pereira,-89484,Danubio,"CF, LAMF, LWF",26.0,2,3,941,2024
F. Perdomo,509391,Liverpool,RB,25.0,0,0,938,2024
L. Wasilewsky,-532277,Liverpool,"RCMF, LCMF, LCMF3",21.0,0,0,936,2024
M. Cabrera,289950,Miramar Misiones,CF,28.0,1,0,935,2024
G. Olivera,-211157,River Plate,"LB, LCB3, LWB",24.0,0,1,931,2024
M. de los Santos,320473,Liverpool,"RCB, CB, LCB",31.0,0,0,919,2024
S. Diana,128384,Deportivo Maldonado,LCB,34.0,0,0,918,2024
C. Mayada,91623,Peñarol,RB,33.0,0,0,913,2024
M. Acuña,289209,Fénix,"CF, LAMF",31.0,4,1,907,2024
D. Sosa,459418,Peñarol,"LW, LB, LB5",27.0,1,0,902,2024
G. Leyes,176517,Danubio,CF,34.0,4,1,899,2024
E. Crespo,444718,Cerro,RCB,28.0,0,0,897,2024
A. González,-69050,Deportivo Maldonado,CF,22.0,3,0,891,2024
