Player,Wyscout id,Team within selected timeframe,Position,Age,Goals,Assists,Minutes played,Temporada
J. Arzura,216876,Nacional,"RCMF, LDMF, DMF",26.0,0,0,256,2019
F. Píriz,476720,Cerro Largo,,21.0,0,0,255,2019
G. Camargo,252603,Racing,"LW, LCMF3",28.0,0,0,253,2019
B. Montelongo,47883,Fénix,RCMF3,32.0,0,0,249,2019
L. Martínez,-116418,Juventud,"CF, LW, AMF",20.0,0,0,238,2019
G. Machado,-131527,Rampla Juniors,"AMF, RAMF, LW",18.0,0,0,235,2019
J. Méndez,57222,Progreso,RCB,36.0,0,0,228,2019
F. Silvera,485369,River Plate,,22.0,1,0,226,2019
M. Santos,263710,Defensor Sporting,RCMF3,25.0,0,0,219,2019
N. Cáceres,432953,Cerro Largo,"LCB, RCB",22.0,0,0,214,2019
G. Gorrostorrazo,-73159,Rampla Juniors,"RCMF, LCMF",21.0,0,0,208,2019
R. Vidal,-116216,Progreso,"LB, RB",19.0,0,0,201,2019
P. Gregorio,-78449,Danubio,"LDMF, RCMF, LCMF",20.0,0,0,197,2019
M. Corujo,24238,Peñarol,RB,32.0,0,0,193,2019
S. Díaz,57886,Plaza Colonia,,36.0,0,0,192,2019
F. Tinaglini,361573,River Plate,,20.0,0,0,180,2019
S. Gallegos,103098,Fénix,"RCMF, AMF, LCMF",27.0,0,0,159,2019
L. Onetto,474823,Danubio,LW,22.0,0,0,156,2019
N. Suárez,-76620,Cerro Largo,"RCMF, LCMF",22.0,0,0,151,2019
M. Estol,355817,Racing,"RCMF3, LCMF",24.0,1,0,145,2019
G. Pintos,-118479,Cerro,"CF, RAMF, LAMF",21.0,0,0,142,2019
L. Arzamendia,-116386,Cerro Largo,"RB, LB",20.0,0,0,136,2019
Nicolás Silva,-116209,Rampla Juniors,"LW, LDMF",22.0,0,0,129,2019
G. Trasante,-76592,Juventud,"RB, LWB",20.0,0,0,122,2019
G. Pérez,353005,Wanderers,,24.0,0,0,120,2019
A. Messidoro,432520,Cerro Largo,"CF, LCMF",22.0,1,0,109,2019
F. Laens,23408,Juventud,CF,30.0,0,0,107,2019
F. Guichón,178127,Rampla Juniors,"LAMF, LCMF",28.0,0,0,107,2019
C. Barros,-69057,Defensor Sporting,"LAMF, RAMF, RW",19.0,1,0,105,2019
Rodrigo,443419,Fénix,CF,21.0,0,0,102,2019
H. Haller,-82997,Wanderers,GK,20.0,0,0,98,2019
F. Domínguez,373279,Juventud,GK,25.0,0,0,95,2019
A. Buffa,-38464,Juventud,,21.0,0,0,90,2019
M. Fratta,448455,Boston River,,21.0,0,0,90,2019
G. Bortagaray,-116379,Wanderers,,19.0,0,0,90,2019
E. Negreira,414519,Cerro,LAMF,22.0,0,0,85,2019
C. Quintana,462334,Cerro Largo,CF,21.0,1,0,83,2019
G. Vitancurt,497960,Juventud,"AMF, CF, LCMF3",22.0,1,0,80,2019
Maxi Rodríguez,91735,Peñarol,"RCMF, LWF, AMF",28.0,0,0,78,2019
Á. Fernández,449011,Fénix,"LWB, RWF, LW",21.0,0,0,76,2019
A. Rodríguez,-132889,Racing,"CF, AMF, LCMF",21.0,0,0,76,2019
P. Milans,-57217,Juventud,RB,17.0,0,0,75,2019
J. Charquero,24237,Cerro Largo,"CF, LCMF3",30.0,0,0,75,2019
O. Falconis,474463,Defensor Sporting,"LW, LAMF, CF",19.0,0,0,74,2019
M. Riascos,186451,Peñarol,"LW, RW",26.0,0,0,70,2019
E. Escobar,-65836,Liverpool,"RW, RWF",20.0,0,0,66,2019
J. Gonella,454567,Progreso,"RW, LW",23.0,0,0,65,2019
E. Villar,-74623,Boston River,RW,19.0,1,0,62,2019
B. Bentaberry,449731,Cerro,,22.0,0,0,54,2019
L. López,323094,Fénix,RB,25.0,0,0,53,2019
C. Ferreira,-132699,Rampla Juniors,,21.0,0,0,50,2019
S. Alvez,-118569,Danubio,"RCMF, LW",17.0,0,0,47,2019
C. Canobbio,249810,Progreso,,37.0,0,0,44,2019
A. Dávila,486705,Peñarol,"CF, RW, AMF",20.0,0,0,44,2019
J. Etchebarne,-116198,Juventud,RW,21.0,0,0,40,2019
R. Melo,-116215,Progreso,"AMF, LCMF",19.0,0,0,39,2019
G. Da Silva,-130253,Racing,,20.0,0,0,33,2019
C. Cruz,452570,Fénix,,21.0,0,0,32,2019
D. Flores,47888,Boston River,,35.0,0,0,27,2019
F. Silvera,-150131,Danubio,LAMF,17.0,0,0,24,2019
J. Fernández,335090,Plaza Colonia,CF,25.0,0,0,24,2019
L. Ruiz Díaz,198918,Plaza Colonia,RB,29.0,0,0,19,2019
L. Pérez,488605,Boston River,,19.0,0,0,16,2019
G. Rodríguez,-146472,River Plate,,19.0,0,0,16,2019
L. Machado,-116212,Progreso,GK,20.0,0,0,15,2019
E. Martínez,-49578,Nacional,RCMF,20.0,0,0,13,2019
M. Abeijón,-159285,Rampla Juniors,,18.0,0,0,12,2019
S. Franco,442183,Juventud,CF,20.0,0,0,12,2019
G. Hernández,344605,Cerro,,23.0,0,0,11,2019
A. Álvarez,-116403,Peñarol,RCMF3,18.0,0,0,8,2019
G. Viera,474143,Liverpool,,18.0,0,0,8,2019
N. Leites,371555,Cerro Largo,,21.0,0,0,6,2019
M. Ferreira,-115325,Danubio,,21.0,0,0,5,2019
D. Lerda,90574,Deportivo Maldonado,GK,33.0,0,0,3482,2020
G. Falcón,391029,Boston River,GK,23.0,0,0,3460,2020
F. Pereira,-124638,Liverpool,"RB, RCB",20.0,3,3,3449,2020
I. de Arruabarrena,395239,Wanderers,GK,23.0,0,0,3400,2020
M. Ferreira,193600,Cerro Largo,"LB, LCB",28.0,1,2,3382,2020
C. Fiermarín,397886,Torque,GK,22.0,0,0,3379,2020
F. Kidd,450064,Plaza Colonia,LB,23.0,2,2,3288,2020
H. Ruíz Díaz,199076,Plaza Colonia,RB,27.0,2,0,3285,2020
A. Rodales,57271,Rentistas,RB,33.0,0,3,3272,2020
R. Cristóbal,472307,Rentistas,"DMF, LCMF",24.0,0,0,3263,2020
H. Figueredo,57148,Liverpool,"RCMF, LCMF, DMF",35.0,5,4,3251,2020
M. Risso,55869,Plaza Colonia,RCB,32.0,2,1,3248,2020
K. Dawson,180998,Peñarol,GK,28.0,0,0,3231,2020
E. Borges,286572,Cerro Largo,CF,34.0,12,2,3188,2020
F. Pérez,88277,Plaza Colonia,LCB,34.0,4,2,3173,2020
C. Cándido,406899,Liverpool,"LB, LWB",25.0,3,4,3171,2020
C. Villalba,-74157,Rentistas,"LCMF, RCMF, LCMF3",22.0,1,0,3154,2020
A. Rodriguez,181312,Fénix,"DMF, RCB3, RCB",27.0,0,0,3088,2020
Y. Irrazábal,57695,Rentistas,GK,32.0,0,0,3085,2020
G. Vega,241911,Rentistas,"LW, LWF, CF",28.0,15,0,3074,2020
S. Rochet,285939,Nacional,GK,27.0,0,0,3063,2020
R. Formento,-90811,Cerro,GK,20.0,0,0,3028,2020
S. González,-124483,Deportivo Maldonado,"RCMF, DMF, LCMF",20.0,1,0,3002,2020
A. Sant'Anna,414522,Deportivo Maldonado,RB,22.0,1,6,2994,2020
N. Rodríguez,163043,River Plate,"RWB, RB5, LWB",29.0,3,8,2991,2020
F. Pizzichillo,289968,Torque,RB,24.0,3,3,2978,2020
G. González,361593,Peñarol,"RB, RW",25.0,3,2,2976,2020
H. Salaberry,253382,River Plate,CB,33.0,0,0,2970,2020
F. Tealde,185281,Deportivo Maldonado,"LCB, LB, RCB",31.0,1,0,2965,2020
J. Alberti,434704,Boston River,"RCMF, LCMF, RCMF3",23.0,4,5,2950,2020
G. Kagelmacher,23535,Peñarol,"LCB, RCB",32.0,2,1,2950,2020
L. Lozano,-49503,Boston River,RB,21.0,1,1,2920,2020
Léo Coelho,282848,Fénix,"LCB, CB, RCB",27.0,1,0,2917,2020
W. Fernández,397868,Boston River,"LCMF, LW, LCMF3",22.0,0,4,2897,2020
A. Ocampo,-82542,Liverpool,"LCMF, LW, RCMF",22.0,9,5,2881,2020
J. Trindade,277923,Peñarol,"RCMF, RDMF, LCMF",27.0,1,1,2875,2020
P. Silva,432524,Boston River,LB,23.0,0,2,2872,2020
M. Arezo,-57218,River Plate,CF,17.0,13,4,2869,2020
C. Valdez,10384,Boston River,"RCB, CB",37.0,2,0,2830,2020
A. Oliveros,-84440,Nacional,"LB, LCB",22.0,1,0,2814,2020
G. Viera,143071,River Plate,"RCB3, LCB3",33.0,3,2,2794,2020
Y. Rak,304982,Torque,"LCB, LCB3",27.0,4,2,2777,2020
F. Torres,474464,Peñarol,"LW, LAMF, AMF",20.0,5,2,2761,2020
I. Pereira,-89484,Fénix,"LWF, CF, LW",22.0,3,4,2757,2020
W. Aguerre,237009,Cerro Largo,GK,27.0,0,0,2735,2020
J. Piquerez,397880,Peñarol,LB,22.0,0,5,2720,2020
F. Romero,341285,Liverpool,"RCB, RCB3, CB",25.0,5,0,2717,2020
M. Cantera,285123,Deportivo Maldonado,"CF, RCMF, AMF",27.0,8,5,2707,2020
E. González,143051,Progreso,"RB, RW, RAMF",29.0,2,3,2686,2020
G. Fratta,396632,Rentistas,LCB,24.0,1,1,2668,2020
J. Rodríguez,441746,Danubio,"RB, RW",23.0,2,1,2663,2020
F. Carballo,398413,Nacional,"LCMF, RCMF, RCMF3",23.0,6,2,2661,2020
F. Díaz,-113265,Liverpool,"DMF, LCMF, RCMF",17.0,0,1,2650,2020
Á. González,13882,Defensor Sporting,"RB, RCMF, DMF",35.0,2,3,2647,2020
M. Rigoleto,322955,Boston River,"RW, CF",25.0,6,0,2645,2020
H. Pereira,57123,Cerro Largo,"RCMF, LCMF, AMF",33.0,2,0,2641,2020
J. Ramirez,-486973,Liverpool,CF,0.0,24,2,2635,2020
I. Ramírez,432975,Liverpool,CF,23.0,24,2,2635,2020
D. Torres,211078,Wanderers,"LCB3, LCB",29.0,2,0,2614,2020
F. Ramos,304983,Deportivo Maldonado,"LCMF, LW, RCMF",28.0,1,1,2607,2020
L. Suhr,453190,Plaza Colonia,"LW, CF, LAMF",22.0,4,6,2573,2020
G. Corujo,473449,Nacional,RCB,24.0,0,0,2550,2020
M. Brasil,447032,Cerro Largo,"RCB, LCB",21.0,0,0,2548,2020
M. Cardacio,31386,Defensor Sporting,"DMF, LCMF, LDMF",32.0,2,3,2542,2020
F. Formiliano,203349,Peñarol,RCB,27.0,2,1,2502,2020
Gabriel Neves,496164,Nacional,"LCMF, RCMF",23.0,2,5,2483,2020
S. Scotto,471871,Torque,"DMF, LCB",23.0,2,2,2450,2020
L. País,181029,Wanderers,"RWB, LWB, LAMF",26.0,4,4,2444,2020
Y. Calleros,-76593,Plaza Colonia,"LCMF, RCMF, DMF",22.0,0,0,2440,2020
M. Abero,91580,Rentistas,LB,30.0,1,2,2431,2020
F. Batista,448446,Deportivo Maldonado,CF,21.0,14,1,2431,2020
Leonai,-114469,Plaza Colonia,"RCMF, RDMF, LCMF",25.0,0,3,2426,2020
Á. Brun,90566,Torque,"DMF, LDMF, LCMF",33.0,4,3,2398,2020
M. Cóccaro,472212,Torque,CF,22.0,12,2,2396,2020
S. Lentinelly,432677,Liverpool,GK,23.0,0,0,2371,2020
L. Nequecaur,304994,Fénix,CF,28.0,6,2,2368,2020
R. Rojo,113131,Defensor Sporting,LB,31.0,1,0,2351,2020
C. Araújo,-113246,Wanderers,"RCMF, LCMF, RDMF",19.0,0,0,2342,2020
M. Loffreda,323257,Progreso,LB,29.0,0,0,2339,2020
M. Tellechea,115135,Deportivo Maldonado,"RW, RAMF, RB",27.0,2,2,2337,2020
H. Dorrego,284040,Cerro Largo,"AMF, CF, LCMF",27.0,9,5,2336,2020
S. Ichazo,103065,Danubio,GK,28.0,0,0,2312,2020
G. del Prete,323107,Torque,"CF, RAMF, RW",24.0,10,1,2297,2020
Á. Cayetano,169055,Cerro Largo,"DMF, LCMF, RCMF",29.0,2,1,2295,2020
M. Allende,425341,Torque,"AMF, LCMF3, LAMF",21.0,6,5,2288,2020
G. Rodríguez,-146472,River Plate,"LCB3, RCB3",20.0,0,0,2286,2020
A. Méndez,-93678,Nacional,RB,24.0,1,0,2285,2020
Lucas Morales,286965,Wanderers,"LB, LWB",26.0,0,2,2277,2020
G. Heredia,-61239,Cerro Largo,"LCB, RCB",23.0,0,0,2245,2020
N. Pérez,91578,Progreso,GK,30.0,0,0,2244,2020
D. Arismendi,23389,Torque,"RCB, LCB, CB",32.0,0,0,2232,2020
M. Castro,57263,Defensor Sporting,GK,32.0,0,0,2226,2020
M. García,-172685,Cerro,"LCMF, LCMF3, RCMF",20.0,2,1,2215,2020
M. Laborda,486239,Nacional,"RB, RCB, LCB",20.0,2,0,2213,2020
G. Pérez,-184699,Liverpool,"LCB, RCB, CB",19.0,0,0,2213,2020
M. Victorino,23387,Danubio,"LCB, RCB",37.0,0,0,2203,2020
J. Álvez,24230,Fénix,"RB, LB, RCB3",36.0,0,0,2202,2020
D. Terans,302533,Peñarol,"CF, AMF",26.0,15,2,2190,2020
S. Píriz,123325,River Plate,"DMF, RCMF",30.0,2,1,2180,2020
G. Pagano,91630,Deportivo Maldonado,"RCB, LCB",31.0,1,1,2175,2020
N. Fernández,397865,Fénix,"LCMF3, LWB, RCMF",22.0,3,0,2164,2020
J. Álvarez,322472,Torque,LB,25.0,3,4,2163,2020
M. Cabrera,289950,Cerro,CF,24.0,9,2,2147,2020
S. Carrera,177241,Danubio,RCB,26.0,0,0,2142,2020
C. Almeida,195142,Liverpool,"LCB, LCB3",30.0,3,0,2128,2020
F. Platero,169061,Progreso,RCB,29.0,1,0,2121,2020
L. Sosa,201707,Danubio,LB,29.0,0,1,2118,2020
G. May,436619,Cerro Largo,"CF, LW, AMF",22.0,7,2,2099,2020
Kevin Méndez,289964,Defensor Sporting,"LW, AMF",24.0,2,6,2098,2020
G. Andrada,-89486,Progreso,"DMF, LCMF, RCMF",23.0,1,1,2077,2020
B. Olivera,405698,Fénix,"RWF, LCMF3, LWB",26.0,3,2,2046,2020
A. Lamas,64651,Defensor Sporting,LCB,36.0,2,0,2033,2020
G. Olveira,303659,River Plate,GK,27.0,0,0,2025,2020
M. Franco,73708,Fénix,"CF, RWF",36.0,18,2,2021,2020
S. Mederos,397874,Danubio,"LW, LWB, LCMF",22.0,4,5,1984,2020
D. Malrechauffe,23543,Rentistas,RCB,35.0,1,0,1982,2020
R. Izquierdo,326485,Cerro,"LB, RB, LWB",27.0,0,2,1962,2020
M. Correa,122124,Liverpool,"LW, RW, LWF",29.0,1,5,1951,2020
N. Furtado,-116394,Cerro,"RB, RW, RAMF",22.0,0,0,1950,2020
L. Ferreira,-175498,Progreso,LCB,20.0,1,0,1944,2020
F. Casanova,-147146,Fénix,GK,23.0,0,0,1943,2020
A. Teuten,-73102,Torque,LB,22.0,1,3,1939,2020
R. Viega,91725,Progreso,"LCMF, RW, LW",29.0,2,1,1939,2020
F. Peraza,322557,Progreso,"CF, RW",28.0,2,1,1939,2020
F. Rodríguez,-77434,Cerro Largo,"LB, LW, LAMF",26.0,0,2,1938,2020
D. Pereira,361279,Torque,"LW, CF, AMF",24.0,4,2,1928,2020
Felipe Klein,72150,Cerro,"DMF, LDMF, RDMF",33.0,1,0,1923,2020
S. Mele,336006,Plaza Colonia,GK,22.0,0,0,1921,2020
A. Silva,91597,Progreso,CF,29.0,8,1,1919,2020
M. Lemos,402132,Rentistas,"RCMF3, RCMF, LCMF",26.0,5,1,1916,2020
E. Martínez,-49578,Nacional,"DMF, RCMF",21.0,1,0,1915,2020
F. Fernández,393882,Progreso,"AMF, LCMF, LW",27.0,7,4,1894,2020
B. Ocampo,-38472,Nacional,"RW, LW, RAMF",21.0,1,10,1888,2020
N. Dibble,322922,Plaza Colonia,"CF, AMF",26.0,7,2,1815,2020
B. Bentaberry,449731,Cerro,"LB, LCB, DMF",23.0,0,0,1807,2020
R. César,192597,Rentistas,CF,27.0,4,1,1802,2020
D. Coelho,475198,Defensor Sporting,CF,25.0,5,1,1801,2020
A. Trezza,-38478,Nacional,"RW, RB, LAMF",21.0,0,0,1758,2020
R. Quintana,304491,Plaza Colonia,"RW, CF, RAMF",25.0,5,2,1745,2020
I. Laquintana,-68003,Defensor Sporting,"RW, RWF, RAMF",21.0,2,0,1741,2020
A. Canobbio,452566,Fénix,"RCMF3, RWB",21.0,5,2,1729,2020
F. López,372553,Cerro,"LAMF, CF, RAMF",27.0,3,1,1727,2020
L. Rodríguez,-116479,Torque,"RW, RCMF3, LAMF",23.0,2,0,1727,2020
R. Bentancourt,205260,Boston River,CF,27.0,10,0,1718,2020
A. Argachá,75192,Fénix,"LB, LCB3",33.0,0,0,1706,2020
E. Zeballos,247645,Defensor Sporting,RB,28.0,0,1,1705,2020
Á. Fernández,24240,Plaza Colonia,"AMF, CF, RCMF",34.0,6,3,1702,2020
V. Poggi,-57219,Defensor Sporting,"LCMF, RCMF, LDMF",18.0,2,0,1693,2020
M. González,373371,Cerro,"LCB, RCB3",26.0,2,0,1687,2020
P. García,434547,Nacional,"LW, RW, LWF",21.0,2,4,1684,2020
J. Barboza,193619,Wanderers,"LCMF, RCMF, LDMF",29.0,2,1,1677,2020
P. Lacoste,119221,Cerro,RCB,32.0,0,0,1666,2020
S. Paiva,-66063,Danubio,CF,21.0,5,0,1662,2020
P. Siles,485477,Danubio,"LCMF, RCMF, LCMF3",23.0,0,4,1657,2020
T. Fernández,-96898,Cerro Largo,"RW, RAMF, RWF",22.0,3,4,1657,2020
G. Bueno,143089,Wanderers,"LCB, RCB, LCB3",35.0,0,0,1655,2020
A. Leites,165847,River Plate,"RCMF3, LCMF3, AMF",28.0,3,3,1643,2020
M. Britos,24239,Peñarol,CF,31.0,7,1,1642,2020
A. Nadruz,448934,Boston River,"RCMF, LCB3, RCB3",24.0,1,0,1640,2020
F. Pérez,-172773,Rentistas,"RW, RWF",19.0,5,0,1639,2020
J. Mascia,175666,Plaza Colonia,CF,26.0,7,1,1620,2020
M. Abisab,228545,Rentistas,"RCMF, RCMF3",26.0,0,5,1619,2020
F. Píriz,91584,Plaza Colonia,"LCMF, DMF, LDMF",30.0,2,0,1611,2020
A. Rolín,189614,Rentistas,"RCB, RCB3",31.0,2,0,1607,2020
R. Piñeiro,460095,Danubio,"AMF, LW, RW",21.0,3,0,1594,2020
F. Mallo,390555,Defensor Sporting,RCB,25.0,1,0,1587,2020
E. Redín,322924,Plaza Colonia,"RW, RB, LW",25.0,1,1,1568,2020
G. Lamardo,-61238,Cerro Largo,"RW, RCMF3",23.0,0,2,1565,2020
M. Fritzler,14256,Danubio,"DMF, RCMF, RDMF",33.0,0,2,1562,2020
J. Rosso,504507,Liverpool,"RB, LB",23.0,1,0,1557,2020
R. Orihuela,-109660,Nacional,LCB,19.0,1,1,1554,2020
L. Paiva,295623,Cerro,"RCMF, RAMF, RW",26.0,3,0,1549,2020
W. Gargano,10389,Peñarol,"LCMF, DMF, RCMF",36.0,0,0,1549,2020
M. Riquero,72461,Progreso,"RCMF, DMF, RDMF",37.0,2,1,1530,2020
A. Cougo,395535,Nacional,LB,24.0,1,2,1517,2020
A. Álvarez,-160631,Peñarol,CF,19.0,10,1,1516,2020
M. Méndez,-125818,Wanderers,CF,21.0,7,2,1516,2020
A. Colombino,201712,Wanderers,"LCMF, RDMF, LDMF",26.0,0,2,1515,2020
R. Rodríguez,23541,River Plate,"RCB3, DMF, LCB3",32.0,2,1,1510,2020
S. Rodríguez,-124548,Rentistas,"CF, RWF",20.0,5,2,1474,2020
M. Falcón,413043,Rentistas,"LCB, LCB3",23.0,2,0,1474,2020
N. Quagliata,-113262,Wanderers,AMF,21.0,3,2,1466,2020
G. Jara,425340,Progreso,"LW, RW",21.0,2,0,1458,2020
F. Moreira,143067,Cerro,"CB, RCB, DMF",31.0,0,0,1451,2020
M. Fernández,-116195,Liverpool,"DMF, LCMF",19.0,1,0,1439,2020
F. Bonifazi,412086,River Plate,"LB5, LWB",24.0,0,0,1426,2020
I. Lores Varela,113158,Nacional,"RAMF, RW",29.0,1,4,1426,2020
M. Acuña,289209,Wanderers,CF,27.0,4,0,1415,2020
F. Ospitaleche,289965,River Plate,"LCMF3, LCMF",24.0,0,3,1409,2020
F. Souza,-184691,Fénix,"LB, RB, RCB3",22.0,0,1,1403,2020
N. Ramos,-172687,Cerro,"RCB, LCB",21.0,0,0,1399,2020
J. Méndez,57222,Progreso,"RCB, LCB",37.0,1,0,1399,2020
M. Ugarte,452575,Fénix,"DMF, RCMF",19.0,1,0,1394,2020
Diogo de Oliveira,-174165,Plaza Colonia,CF,23.0,6,3,1392,2020
A. Medina,-89199,Liverpool,"RW, RWF",22.0,5,2,1392,2020
J. Izquierdo,499288,Wanderers,"RCB, RCB3",23.0,2,2,1385,2020
J. Gottesman,478751,Progreso,"RCMF, RCMF3, DMF",24.0,3,3,1379,2020
A. Martinuccio,52278,Boston River,"CF, AMF",32.0,3,0,1376,2020
A. Schetino,308767,Fénix,"LCMF, DMF, RCB",26.0,1,0,1375,2020
F. Labandeira,473450,Danubio,RW,24.0,2,2,1370,2020
J. Méndez,307569,Danubio,"LCMF, RCMF, LDMF",25.0,1,0,1368,2020
Lucas Machado,-74200,River Plate,GK,22.0,0,0,1365,2020
J. Neris,474140,River Plate,CF,20.0,7,1,1363,2020
P. Lima,322903,Wanderers,"RCB3, RCB",28.0,1,0,1363,2020
A. González,57116,Defensor Sporting,RCB,32.0,0,0,1353,2020
H. Rivero,399041,Wanderers,CF,27.0,7,1,1348,2020
B. Long,91643,Defensor Sporting,GK,30.0,0,0,1343,2020
C. Cruz,452570,Cerro,"LAMF, RW, RWB",22.0,1,0,1342,2020
M. Estigarribia,23649,Deportivo Maldonado,"LB, LCMF",32.0,2,1,1335,2020
M. Pérez,55874,Wanderers,"CF, LAMF, LW",33.0,3,1,1335,2020
A. Mehring,251950,Liverpool,GK,26.0,0,0,1331,2020
G. de Amores,181035,Fénix,GK,25.0,0,0,1330,2020
L. Rodríguez,352999,Danubio,"LCMF, RCMF",27.0,0,0,1330,2020
A. Rodríguez,474729,Defensor Sporting,"RCMF3, RW, RCMF",20.0,1,1,1322,2020
S. Rodríguez,474723,Nacional,"AMF, RW, CF",20.0,5,4,1315,2020
J. Trasante,486242,Nacional,"RCMF, LDMF",21.0,1,1,1310,2020
S. Cáceres,-206490,Cerro,"RCMF3, RDMF, LW",20.0,0,3,1283,2020
E. Beltrán,498555,Cerro Largo,RB,22.0,0,0,1282,2020
L. Monzón,-172328,Danubio,"LCB, LCB3",18.0,0,0,1280,2020
M. Calzada,91582,River Plate,"RCMF3, LCMF3",30.0,1,1,1275,2020
E. Villar,-74623,Nacional,"CF, LW, RAMF",20.0,3,2,1265,2020
R. Abascal,362177,Peñarol,LCB,26.0,1,0,1254,2020
K. Vadócz,1416,Peñarol,"DMF, RCMF, RDMF",35.0,0,1,1248,2020
L. Otormín,316042,Torque,CF,24.0,4,4,1244,2020
N. Barán,149587,Boston River,LCB,30.0,1,0,1233,2020
M. Marta,485476,Progreso,"LCB, LB, CB",23.0,2,1,1227,2020
M. Rocha,-160583,Defensor Sporting,"RB, LCB, RCB",19.0,0,0,1220,2020
C. Nuñez,412927,Fénix,"RCMF3, RB",26.0,2,2,1218,2020
N. Olivera,248712,Deportivo Maldonado,"LCB, LB",27.0,0,1,1217,2020
N. Roldán,435267,Progreso,"LW, CF",21.0,4,3,1211,2020
R. Rabino,430704,Defensor Sporting,LB,22.0,0,0,1210,2020
N. Colazo,83257,Rentistas,"LB, RW",30.0,1,0,1210,2020
R. Muniz,483113,Deportivo Maldonado,"LW, LAMF, RW",18.0,3,1,1209,2020
E. Etcheverry,289955,Cerro Largo,"RB, LB, DMF",24.0,0,0,1197,2020
Chory Castro,1893,Nacional,"LW, LAMF",35.0,2,4,1194,2020
Paulo Vinícius,113130,Nacional,"LCB, RCB",30.0,0,0,1192,2020
D. Asconeguy,57181,Progreso,"RB, LB",33.0,0,0,1187,2020
M. Montiel,445675,River Plate,"RCMF3, DMF, RWB",25.0,3,0,1169,2020
J. Pereyra,395448,Torque,"RCB, RCB3",26.0,1,0,1166,2020
Á. Navarro,55873,Defensor Sporting,CF,35.0,2,1,1159,2020
A. Barboza,246274,Fénix,"RCB, RCB3, LCB3",26.0,0,0,1146,2020
H. Petrik,322466,Wanderers,RB,25.0,0,0,1145,2020
S. Martínez,148493,Wanderers,"LCMF, RCMF",29.0,0,0,1132,2020
E. Darias,506234,Deportivo Maldonado,"RW, LB, LW",22.0,3,0,1122,2020
R. Ergas,397881,Rentistas,"LB, LWB",22.0,0,4,1118,2020
B. Veglio,-90785,Wanderers,"AMF, RWB, LDMF",22.0,2,1,1117,2020
M. Ocampo,-57221,Defensor Sporting,"RW, LAMF, LW",18.0,2,1,1115,2020
I. Nicolini,142815,Deportivo Maldonado,"RCMF, LCMF, DMF",31.0,1,1,1105,2020
N. González,458157,River Plate,CF,23.0,5,1,1097,2020
M. Gómez,296248,Cerro Largo,RB,28.0,1,2,1091,2020
A. Sosa,428037,Progreso,"LAMF, LW, LB",24.0,0,0,1090,2020
D. Hernández,-192895,Wanderers,"RAMF, RW, LWB",20.0,2,1,1077,2020
S. Romero,143210,Rentistas,"LCMF3, RW, LCMF",30.0,1,0,1076,2020
C. Núñez,57057,Cerro,"RB, LB",37.0,0,0,1074,2020
F. Rodríguez,396474,Boston River,"CF, AMF, LW",24.0,6,2,1060,2020
A. Sánchez,-161938,Cerro Largo,"RCMF, RCMF3, RAMF",21.0,0,0,1038,2020
N. Prieto,103079,Danubio,"RCMF, LCMF, DMF",27.0,0,0,1022,2020
S. Brunelli,448636,River Plate,LCB3,22.0,0,0,1021,2020
C. Yacob,15089,Nacional,"DMF, LCMF, LDMF",33.0,1,0,1017,2020
C. González,-124553,Danubio,LB,21.0,0,0,1015,2020
N. Suárez,474724,Progreso,GK,20.0,0,0,1010,2020
G. Pérez,-115528,Liverpool,"RCMF3, RCMF",20.0,2,0,1008,2020
D. Vicente,397882,River Plate,"DMF, LCMF, RCMF3",22.0,0,2,993,2020
E. Ancheta,-84106,Danubio,"RB, RCB3",21.0,0,0,989,2020
G. Báez,406831,Cerro Largo,"LW, LCMF3, LCMF",25.0,1,0,980,2020
L. Couto,-116380,Wanderers,"RB, RWB",22.0,0,1,976,2020
J. Domínguez,284771,Danubio,"RCB, LCB",28.0,0,0,975,2020
K. Alaniz,-96675,Fénix,"LCMF, AMF",17.0,0,2,974,2020
Ignacio Neira,453799,Torque,"RCMF3, AMF, LAMF",22.0,0,0,970,2020
E. Larrosa,-184703,Boston River,CF,19.0,2,1,963,2020
E. Álvarez,413471,Defensor Sporting,"LCB, RCB, LCB3",24.0,1,0,962,2020
A. Álvarez,-116403,Peñarol,"RDMF, RCMF3, LCMF",19.0,0,0,945,2020
T. Vecino,486248,Nacional,CF,21.0,4,1,932,2020
N. Acosta,-124546,Rentistas,"CF, RWF",21.0,0,1,907,2020
S. Pérez,397875,River Plate,"LWB, LB5",21.0,0,0,900,2020
C. Olivera,-96677,Rentistas,"RW, CF, RWF",18.0,3,1,895,2020
L. Aguilera,-209542,Progreso,"RCMF, DMF, LCMF",19.0,0,0,884,2020
E. Escobar,-65836,Liverpool,"RW, RAMF, RWF",21.0,2,1,883,2020
N. Rossi,418266,Rentistas,GK,22.0,0,0,877,2020
M. Suárez,316039,Nacional,"RB, LB",24.0,0,0,875,2020
N. Freitas,57149,Boston River,"DMF, RCMF, LCMF",33.0,2,0,870,2020
L. Rodríguez,-116207,Defensor Sporting,"LCB, RCB",21.0,0,0,869,2020
H. Toledo,419763,Deportivo Maldonado,"LW, RW",24.0,1,1,861,2020
D. Riolfo,149580,Wanderers,"AMF, CF",30.0,2,0,849,2020
C. Pereyra,48127,Deportivo Maldonado,CF,38.0,4,0,843,2020
